,Timestep,DislocationAnalysis.cell_volume,DislocationAnalysis.counts.BCC,DislocationAnalysis.counts.CubicDiamond,DislocationAnalysis.counts.FCC,DislocationAnalysis.counts.HCP,DislocationAnalysis.counts.HexagonalDiamond,DislocationAnalysis.counts.OTHER,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length,PolyhedralTemplateMatching.counts.BCC,PolyhedralTemplateMatching.counts.FCC,PolyhedralTemplateMatching.counts.HCP,PolyhedralTemplateMatching.counts.ICO,PolyhedralTemplateMatching.counts.OTHER,PolyhedralTemplateMatching.counts.SC
20,420000.0,47812740.0,0.0,0.0,3707219.0,70180.0,0.0,222601.0,1919.9697265625,2323.48828125,1289.67724609375,18802.212890625,63054.99609375,1536.3082275390625,88926.796875,856.0,3736773.0,83319.0,0.0,179050.0,2.0
21,440000.0,47812740.0,0.0,0.0,3707514.0,69627.0,0.0,222859.0,1726.357666015625,2063.2119140625,1725.0797119140625,19762.173828125,58570.8203125,2055.781005859375,85903.25,724.0,3736686.0,82089.0,0.0,180499.0,2.0
22,460000.0,47812740.0,0.0,0.0,3708892.0,70080.0,0.0,221028.0,1745.6490478515625,2280.2919921875,1563.029052734375,19572.21484375,62371.3671875,1871.9332275390625,89443.625,761.0,3737945.0,82934.0,0.0,178360.0,0.0
23,480000.0,47812740.0,0.0,0.0,3697585.0,69884.0,0.0,232531.0,1885.07763671875,2326.01416015625,1494.5137939453125,18535.962890625,64453.46484375,2054.7861328125,90750.0234375,803.0,3729085.0,83090.0,3.0,187018.0,1.0
24,500000.0,47812740.0,0.0,0.0,3695264.0,72262.0,0.0,232474.0,1813.0399169921875,2278.993896484375,1576.8223876953125,19147.357421875,65565.8671875,1800.9449462890625,92182.9921875,919.0,3727154.0,85791.0,2.0,186133.0,1.0
25,520000.0,47812740.0,0.0,0.0,3695116.0,71221.0,0.0,233663.0,2100.020751953125,2275.703857421875,1441.2066650390625,18178.03125,66886.1953125,1691.0987548828125,92572.09375,785.0,3726759.0,85033.0,1.0,187420.0,2.0
26,540000.0,47812740.0,0.0,0.0,3674146.0,77999.0,0.0,247855.0,2280.5537109375,2910.72314453125,1256.0736083984375,17782.625,73933.5078125,2620.455078125,100783.921875,1118.0,3708559.0,93099.0,2.0,197222.0,0.0
27,560000.0,47812740.0,0.0,0.0,3682353.0,77263.0,0.0,240384.0,1933.0364990234375,3140.865966796875,1612.4541015625,21060.76953125,70489.8671875,2130.998046875,100382.5546875,998.0,3715196.0,91712.0,0.0,192092.0,2.0
28,580000.0,47812740.0,0.0,0.0,3688263.0,77863.0,0.0,233874.0,1932.2884521484375,2585.356201171875,1690.36669921875,20855.802734375,67186.0234375,1896.11572265625,96146.046875,850.0,3719878.0,92250.0,1.0,187018.0,3.0
29,600000.0,47812740.0,0.0,0.0,3689794.0,75954.0,0.0,234252.0,1990.715087890625,2570.65234375,1554.84521484375,18249.345703125,69787.703125,1845.7333984375,95998.859375,967.0,3722743.0,90557.0,2.0,185728.0,3.0
30,620000.0,47812740.0,0.0,0.0,3694008.0,70531.0,0.0,235461.0,2095.32568359375,2347.15625,1941.9951171875,18113.51953125,67727.609375,1471.00244140625,93706.3125,866.0,3726851.0,84340.0,1.0,187942.0,0.0
31,640000.0,47812740.0,0.0,0.0,3707475.0,68728.0,0.0,223797.0,2079.682861328125,2269.531005859375,1427.8125,17885.9921875,63403.06640625,1878.4674072265625,88955.953125,763.0,3737670.0,81830.0,2.0,179735.0,0.0
