,Point Defect Cnts,Clsuter Vlm,PCF PC 1,PCF PC 2,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length
SAED PC 62,-0.001983065197980145,-0.004573604245561784,0.0015960736583614684,0.01646172267253292,0.05679757114291728,-0.0729999914849258,0.08329121879604293,-0.06667776823983704,0.017058175400169052,-0.05406834911770943,-0.0024273748342590732
SAED PC 63,-0.018304371516629427,-0.01630215529225216,0.018149192590333547,-0.03219467131018243,0.009987110909179201,0.05526533358256844,0.08385597859624794,0.005665871648077174,-0.0148874181325242,-0.0694528707767155,-0.008799361326133147
SAED PC 64,-0.0004903394514692494,-0.002480891699088027,0.0011695638060865883,0.002929348814778012,-0.016831759281317034,-0.033189394125299754,0.11218621712497133,0.005329045809047912,-0.007416090942420784,-0.016823400860112286,-0.0041482410068475585
SAED PC 65,0.002431613119286128,0.0006400720757816452,-0.0037101897213812035,0.03862518006674662,-0.021491885052335933,0.05284944696826854,-0.03914537682769925,0.02071812326590236,0.020292813911802824,-0.04003509002232321,0.01834008270005757
SAED PC 66,0.01900148063676988,0.020731615416272484,-0.02095549744463857,-0.029798617915740608,-0.0788351138275815,-0.07507165615471653,0.07205553889562866,0.08337821698830383,-0.009849954166279155,0.06321286837653188,0.010086374988890028
SAED PC 67,-0.0016563510831786282,0.003976605570183095,0.005308138493195806,-0.0737974725980795,0.032406808409966924,0.11462185796761586,-0.05739835137194536,-0.01160378501059935,0.027926991787613542,0.07963394766885297,0.02320179825867321
SAED PC 68,-0.008503228717188852,-0.003097911077123004,0.00586108966786,-0.024431158214329108,0.07534911285362574,-0.06595969816128879,-0.06524660949323464,-0.06545577013078195,0.014478308155669549,-0.009060649400214558,-0.004492613155388002
SAED PC 69,0.01045264820079902,0.0007512601640078681,-0.004136313262323861,0.06360230343327716,-0.005246876439549993,0.08924853775971142,-0.06282497981172415,0.009567425728135783,0.027471552084278813,-0.02178170827149676,0.02264444648861225
SAED PC 70,-0.0014857798561238088,-0.00383593829925612,-0.00017895845708130234,0.03808925367439147,-0.05423659040950023,-0.05005323419060481,0.051804073135800335,-0.0243494293744893,-0.012955531052080397,0.0027645157679395457,-0.01644718840569858
SAED PC 71,0.022313505130727388,0.019257689575054894,-0.018192456901876305,0.007583501228458621,-0.010727165788488993,0.04523214738626135,-0.03680438987963773,0.057401320311531626,-0.01118509253532069,0.03179872217751569,0.005144820806143196
SAED PC 72,0.010814324911955856,0.0050760282721163995,-0.012112351618149081,0.0631408561870348,-0.032383921335925214,0.12014002504303814,-0.030610968157504706,0.009697786128514841,0.017435484199550128,-0.04667288776209349,0.015282458397870858
SAED PC 73,0.014953151062408486,0.012803319665748806,-0.01401430841777588,0.03493787851501952,-0.006902416887629068,-0.03969626517550004,-0.037539937416656226,-0.00882495502127109,0.021369848876947695,-0.017179813006868973,0.011527458364914093
SAED PC 74,0.003087093773767486,0.004131823898140626,-0.0025199393282912983,-0.008872095963203794,0.0712950482129308,-0.06079998271993864,-0.011299611509968943,0.00814689653186993,0.012751943665989002,-0.009570267790489624,0.010976190720090982
SAED PC 75,-0.0186228205410476,-0.018637068877782624,0.016959597920083187,0.018282110879469498,-0.004933580489415251,0.067154387999066,-0.030953227002528224,-0.038394387236466876,-0.02498604549750001,-0.00809220165877874,-0.02592865012575718
SAED PC 76,-0.05109866835810588,-0.06557598454012932,0.05101208864172946,0.12851255647828674,-0.10698174927714127,0.0785299589982351,-0.09477233879634363,-0.006745712029100389,-0.07903891079928856,-0.08075183744254055,-0.06456904755187116
